"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
399,"NCT01953614","Effects of Chiropractic Adjustments on Brain Function Using Quantitative Encephalography",,"Completed","No Results Available","Brain Function","Other: Chiropractic adjustment|Other: Sham adjustment","Changes in quantitative EEG values as compared to a normative database|Behavioral assessment questionaire","Life University","All","10 Years to 99 Years   (Child, Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Health Services Research","I-0010","June 2013","December 2015","December 2015","October 1, 2013","null","April 20, 2016","Life University, Marietta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01953614"
400,"NCT01952119","Effect of a Secure Message Reminder on Hypertension Follow-up at an Integrated Health Care System",,"Completed","No Results Available","Hypertension","Other: Secure message reminder","Appointment with new blood pressure reading|New appointment with new blood pressure reading|Existing appointment kept with new blood pressure reading|Change in antihypertensive regimen","Kaiser Permanente","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","182","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","GA-11AKuo-01","October 2011","December 2011","June 2012","September 27, 2013","null","September 27, 2013","Kaiser Permanente Georgia, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01952119"
401,"NCT01947673","Mechanisms of Intradialytic Hypertension","MID-H","Recruiting","No Results Available","Renal Failure Chronic Requiring Hemodialysis|Haemodialysis-induced Symptom|Hypertension","Other: Mindfulness Meditation|Other: Health Education","Blood Pressure during dialysis|Cardiopulmonary baroreflex Sensitivity|KDQOL Symptom Score","Emory University|Satellite Healthcare","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00066932|00025948","September 2013","August 2020","August 2020","September 20, 2013","null","October 5, 2018","Emory Dialysis Clinics, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01947673"
402,"NCT01946724","In-hospital and Long-term Outcomes for Percutaneous Chronic Total Coronary Occlusion Revascularization in a High-volume, Multi-operator Program","Perspective","Completed","No Results Available","Ischemic Heart Disease","","CTO procedural success|Major Adverse Cardiac Events (MACE)","Piedmont Healthcare","All","18 Years and older   (Adult, Older Adult)","","500","Other","Observational","Observational Model: Other|Time Perspective: Other","Perspective","August 2013","May 24, 2017","May 24, 2017","September 20, 2013","null","May 4, 2018","Piedmont Heart Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01946724"
403,"NCT01930968","Definity for Ultrasound of Intraocular Tumors",,"Not yet recruiting","No Results Available","Ocular Melanoma","","Quantification of tumor perfusion and visualization of microvasculature using ultrasound enhanced images of intraocular tumors with microbubbles|Correlation between tumor vascularity by contrast enhanced ultrasoungraphy and histologically determined tumor vascular density|Correlation between tumor size by contrast enhanced ultrasoungraphy and histologically determined tumor size","Emory University","All","20 Years and older   (Adult, Older Adult)","","10","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00039493","January 2019","December 2019","December 2019","August 29, 2013","null","February 28, 2018","Emory Eye Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01930968"
404,"NCT01926678","Efficacy of Swedish Massage Therapy on Cancer-related Fatigue in Cancer Survivors",,"Completed","No Results Available","Cancer Related Fatigue","Other: Swedish massage therapy|Other: Light touch therapy","Cancer-Related Fatigue|Inflammation","Emory University|National Center for Complementary and Integrative Health (NCCIH)|National Cancer Institute (NCI)","Female","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","66","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00062853|R21AT007090","November 2013","May 2016","May 2016","August 21, 2013","null","July 11, 2016","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01926678"
405,"NCT01924910","A Single Wintertime Dose of Vitamin D3 to Prevent Winter Decline in Vitamin D Status in Healthy Adults",,"Completed","No Results Available","Vitamin D Deficiency","Dietary Supplement: 250,000 IU cholecalciferol as single, oral dose|Dietary Supplement: Placebo","blood levels of 25(OH)D|Blood Calcium level|Blood pro-inflammatory cytokines|Blood hepcidin concentration|Blood markers of iron status","Emory University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00061103|OnceYearlyD","October 2012","December 2013","July 2017","August 19, 2013","null","July 13, 2017","Emory University Campus, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01924910"
406,"NCT01923896","D-cycloserine and Treatment of Feeding Disorders",,"Completed","Has Results","Feeding Disorders|Specific Phobia","Behavioral: Behavioral Intervention|Drug: d-cycloserine (DCS)|Drug: Placebo","Rapid Swallowing|Disruptions","Emory University","All","18 Months to 6 Years   (Child)","Phase 1|Phase 2","16","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00061465|DCS-2012-Marcus","March 2013","September 2013","November 2013","August 16, 2013","October 23, 2014","October 23, 2014","Marcus Autism Center - Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01923896"
407,"NCT01922206","Maternal HIV: Trial to Assist Disclosure to Children","TRACK II","Active, not recruiting","No Results Available","HIV","Behavioral: TRACK Intervention","Disclosure of Maternal HIV status to child|Child Mental Health Functioning (Composite measure)","Georgia State University|University of California, Los Angeles","All","Child, Adult, Older Adult","Not Applicable","362","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","MH094233|1R01MH094233","March 2013","August 2016","April 2018","August 14, 2013","null","August 11, 2017","Georgia State University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01922206"
408,"NCT01921270","Dysport for the Treatment of OMD",,"Completed","Has Results","Oral Dystonia|Tardive Dystonia","Drug: Low Dose - AbobotulinumtoxinA","Mean Global Dystonia Rating Scale Score as Measured by Blinded Rater|Change in Analogue Pain Scale Score|Mean Sialorrhea Clinical Scale for Parkinson's Disease (SCS-PD) Score|Change in Number of Tongue Bites Per Day|Mean Swallowing Disturbance Questionnaire (SDQ-20) Score|Mean Fahn-Marsden Part B ""Speech"" Question (BFM-q21) Rating|Mean Oromandibular Dystonia Quality of Life Questionnaire (OMDQ-25) Score|Mean Global Clinical Impression - Improvement Scale (CGI) Index Score|Mean Global Clinical Impression Scale (CGI-S) With Severity Index Score|Mean Global Clinical Impression- Efficacy Index Score|Mean Unified Dystonia Rating Scale (UDRS) Score as Measured by Un-blinded Rater|Mean Global Dystonia Rating Scale Score as Measured by Un-blinded Rater|Mean Unified Dystonia Rating Scale (UDRS) Score as Measured by Blinded Rater","Emory University|Ipsen","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","18","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00064292","August 2013","February 8, 2017","February 8, 2017","August 13, 2013","November 17, 2017","November 17, 2017","Wesley Woods Health Center; Emory University Hospital, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT01921270/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01921270"
409,"NCT01921218","Belatacept Therapy for the Failing Renal Allograft","IM103-133","Active, not recruiting","No Results Available","Failing Renal Allograft","Drug: Belatacept|Drug: Calcineurin inhibitor therapy|Drug: Mycophenolate mofetil|Drug: prednisone","Comparison of development of donor-specific antibody between groups|Change of glomerular filtration rate between groups","Andrew B Adams, MD, PhD|Bristol-Myers Squibb|Emory University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","72","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00060470|IM103-133","August 2013","August 2018","August 2019","August 13, 2013","null","December 15, 2017","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01921218"
410,"NCT01917708","BMT Abatacept for Non-Malignant Diseases",,"Recruiting","No Results Available","Hurler Syndrome|Fanconi Anemia|Glanzmann Thrombasthenia|Wiskott-Aldrich Syndrome|Chronic Granulomatous Disease|Severe Congenital Neutropenia|Leukocyte Adhesion Deficiency|Shwachman-Diamond Syndrome|Diamond-Blackfan Anemia|Dyskeratosis-congenita|Chediak-Higashi Syndrome|Severe Aplastic Anemia|Thalassemia Major|Hemophagocytic Lymphohistiocytosis|Sickle Cell Disease","Drug: Abatacept","Tolerability of abatacept|Proportion of Participants experiencing Immunological effects|Proportion of Participants experiencing Regimen-related toxicity|Proportion of Participants experiencing Engraftment failure|Proportion of Participants experiencing Graft versus Host Disease|Survival Rate|Pharmacokinetics of abatacept","Emory University","All","up to 21 Years   (Child, Adult)","Phase 1","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00069836","January 2014","September 2018","January 2020","August 7, 2013","null","May 17, 2018","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01917708"
411,"NCT01916824","Effects of Treatment on Decision-making in Major Depression",,"Completed","Has Results","Major Depressive Disorder|Healthy Controls","Drug: Any FDA Approved Antidepressant","Money Earned","Emory University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","53","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00066705","August 2013","December 2015","December 2015","August 6, 2013","October 20, 2017","November 21, 2017","Emory Mood and Anxiety Disorders Program, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01916824"
412,"NCT01916096","Lancet Blood Volume Comparison Study",,"Completed","No Results Available","Diabetes","Device: Delica Device","Blood Volume Measurements","Facet Technologies","All","18 Years to 85 Years   (Adult, Older Adult)","","180","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","FT-837-068-BV","February 2012","February 2012","February 2012","August 5, 2013","null","August 5, 2013","Facet Technologies, Kennesaw, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01916096"
413,"NCT01914302","The Characterization of Blood Volumes of Commercially Available Lancing Devices",,"Completed","No Results Available","Diabetes","Device: Delica Lancing Device|Device: Flash Lancing Device|Device: Easy Touch Lancing Device|Device: Glucoject Lancing Device|Device: Microlet Lancing Device|Device: Multiclix Lancing Device|Device: Fastclix Lancing Device|Device: Reli-On Lancing Device","Blood Volumes measured in microliters|Pain rating measure on a 0-20 Gracely Scale","Facet Technologies|LifeScan","All","18 Years to 75 Years   (Adult, Older Adult)","","64","Other|Industry","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","FT6000682013","July 2013","July 2013","July 2013","August 2, 2013","null","August 2, 2013","Facet Technologies, Kennesaw, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01914302"
414,"NCT01913470","Study of Losartan in the Treatment of NAFLD in Children",,"Completed","Has Results","NAFLD","Drug: Losartan","Change in Alanine Aminotransferase (ALT) From Baseline to End of Treatment (8 Weeks of Treatment)|Change in Cholesterol Levels From Baseline to End of Treatment (8 Weeks of Treatment)|Change in Triglyceride Levels From Baseline to End of Treatment (8 Weeks of Treatment)|Change in Fatty Acid Levels From Baseline to End of Treatment (8 Weeks of Treatment)|Changes in Homeostasis Model of Assessment - Insulin Resistance (HOMA-IR) Between Baseline and End of Treatment (8 Weeks of Treatment)|Changes in Plasminogen Activator Inhibitor-1 (PAI-1) Concentrations Between Baseline and End of Treatment","Miriam Vos, MD|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Children's Healthcare of Atlanta|Emory University","All","11 Years to 19 Years   (Child, Adult)","Phase 2","12","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00062895|1R03DK096157-01A1|1R03DK096157-01","July 2013","December 2015","December 2015","August 1, 2013","May 15, 2017","May 15, 2017","Emory University / Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01913470"
415,"NCT01910519","Systems Biology of Influenza A (H5N1) Virus Monovalent Vaccine With and Without Adjuvant System 03 (AS03)",,"Completed","No Results Available","Influenza A Virus, H5N1 Subtype","Biological: Influenza A (H5N1) Virus Monovalent Vaccine with AS03 adjuvant|Biological: Influenza A (H5N1) Virus Monovalent Vaccine without AS03 adjuvant","Change in traditional immune parameters measurements using Luminex assays and gene expression measurement using microarray experiments from baseline with Influenza A Vaccine with and without AS03 adjuvant|Measurement of Hemagglutination Inhibition Assay (HAI) titers +/- microneutralization (MN) titers with Influenza A Vaccine with and without AS03 adjuvant|Correlation of innate immune signatures and adaptive immune responses using correlation coefficient and SAM with quantitative outcome|Frequency, severity and causality of all adverse events in participant receiving Influenza A Vaccine with and without AS03 adjuvant","National Institute of Allergy and Infectious Diseases (NIAID)|Emory University","All","21 Years to 45 Years   (Adult)","Phase 2","50","NIH|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","DAIT HIPC: VAX-010","July 2013","February 2015","November 2015","July 29, 2013","null","February 15, 2016","The Hope Clinic - Emory Vaccine Center, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01910519"
416,"NCT01909115","Randomized Study of Two Vitamin D Dosing Strategies in Children With Chronic Kidney Disease",,"Active, not recruiting","No Results Available","Chronic Kidney Disease","Dietary Supplement: Vitamin D3","Vitamin D sufficiency","Emory University","All","9 Years to 19 Years   (Child, Adult)","Not Applicable","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00067067|EmoryPedNeph-001","September 2014","April 2020","June 2020","July 26, 2013","null","July 18, 2018","Childen's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01909115"
417,"NCT01903876","A Web-based Bystander Education Program","RealConsent","Completed","Has Results","Sexual Violence","Behavioral: Bystander & Sexual Violence Prevention|Behavioral: General Health Promotion","Prosocial Intervening Behavior|Sexual Violence Perpetration","Emory University|Centers for Disease Control and Prevention","Male","18 Years to 24 Years   (Adult)","Not Applicable","743","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00000472|R49CE000892|EmoryVAW","February 2010","May 2011","May 2011","July 19, 2013","July 23, 2014","July 23, 2014","Georgia State University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01903876"
418,"NCT01899521","Examination of Zinc, S-adenosylmethionine, and Combination Therapy Versus Placebo in Alcoholics","ExZACTO","Completed","No Results Available","Alcoholism","Procedure: Bronchoscopy|Dietary Supplement: Zinc sulfate 220 mg once daily|Dietary Supplement: S-adenosylmethionine 400 mg twice daily","Primary Endpoint|Secondary Endpoint","VA Office of Research and Development","All","18 Years to 60 Years   (Adult)","Not Applicable","113","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","PULM-038-12S|IRB00060773|IK2CX000643","May 1, 2013","July 31, 2017","July 31, 2017","July 15, 2013","null","November 8, 2017","Atlanta VA Medical and Rehab Center, Decatur, GA, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01899521"
419,"NCT01896180","Study to Compare the Safety and Efficacy of ALZ-1101 to Latanoprost in Patients With Intraocular Pressure Inadequately Controlled by Latanoprost",,"Completed","No Results Available","Primary Open Angle Glaucoma|Ocular Hypertension|Elevated Intraocular Pressure","Drug: ALZ-1101|Drug: Latanoprost","Goldmann applanation tonometry|Safety","Alleanza Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","63","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","ALZ-1101-101","July 2013","January 2014","January 2014","July 11, 2013","null","September 30, 2014","Morrow, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01896180"
420,"NCT01893684","Dietary Intervention and Varying Physical Activity in Seniors","ugaDIVAS","Completed","No Results Available","Obesity","Behavioral: Exercise|Behavioral: Higher Protein Diet|Behavioral: Conventional Carbohydrate Diet","Change from Baseline in Body Composition at 3 Months and 6 Months|Change from Baseline in Strength & Muscle Quality at 3 Months and 6 Months|Change from Baseline in Energy & Fatigue Symptoms/Psychological Function at 3 Months and 6 Months|Physical Functional Performance|Biomarkers Related to Fatigue|Physical Activity|Acceptability","University of Georgia","Female","65 Years to 80 Years   (Older Adult)","Not Applicable","81","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCBA","January 1, 2013","December 31, 2014","July 1, 2015","July 9, 2013","null","September 7, 2017","University of Georgia, Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01893684"
421,"NCT01890226","A Mobile Personal Health Record for Behavioral Health Homes","mPHR","Active, not recruiting","No Results Available","Hypertension|Hyperlipidemia|Diabetes","Behavioral: Mobile Personal Health Record App.","Quality of General Medical Care","Emory University|National Institute of Mental Health (NIMH)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","IRB00067447|1R01MH100467-01","November 2014","October 2018","December 2018","July 1, 2013","null","September 12, 2018","Viewpoint Health & Oakhurst Medical Center, Conyers, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01890226"
422,"NCT01889355","User Study for Enhanced Meter Feature",,"Completed","Has Results","Diabetes Mellitus","Device: AgaMatrix Blood Glucose Monitor","Enhanced Meter Feature Usability","AgaMatrix, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","121","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","AGAFPGM01","January 2014","February 2014","March 2014","June 28, 2013","August 6, 2018","August 6, 2018","Atlanta Diabetes Associates, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01889355"
423,"NCT01880346","Comparison of Absorption of Vitamin D in Cystic Fibrosis",,"Completed","No Results Available","Cystic Fibrosis","Dietary Supplement: Vitamin D Powder|Dietary Supplement: Vitamin D Oil","Rate of Absorption of vitamin D3 to blood","Emory University","All","18 Years to 59 Years   (Adult)","Phase 4","17","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","IRB00066261|Hermes vitamin D","October 2013","March 2015","October 2015","June 19, 2013","null","November 20, 2015","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01880346"
424,"NCT01873495","Omacetaxine for Consolidation and Maintenance",,"Completed","No Results Available","Acute Myelogenous Leukemia (AML)","Drug: Omacetaxine","Disease status will be assessed by a bone marrow aspirate and biopsy prior to each of 3 consolidation cycles (to ensure that patients are still in remission).|Assessment of disease status|Bone marrow aspirate to confirm continuous remission will be obtained before starting maintenance and at 3 and 6 months from the start of maintenance.|Toxicities will be monitored by history, physical examination, and laboratory monitoring-during maintenance.|Toxicities will be monitored by history, physical examination, and laboratory monitoring-during consolidation.","Emory University|Teva Pharmaceuticals USA","All","55 Years and older   (Adult, Older Adult)","Phase 2","7","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00057844|Winship2176-11","May 2013","July 2018","July 2018","June 10, 2013","null","September 3, 2018","Emory University Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01873495"
425,"NCT01868958","DTI of the Brain and Cervical Spine: Evaluation in Normal Subjects and Patients With Cervical Spondylotic Myelopathy",,"Completed","No Results Available","Cervical Spondylosis With Myelopathy","","Diffusion properties of the spinal cord","Emory University|Siemens Medical Solutions","All","30 Years to 70 Years   (Adult, Older Adult)","","26","Other|Industry","Observational","Observational Model: Case Control|Time Perspective: Prospective","IRB00058267","January 2013","June 2015","June 2015","June 5, 2013","null","July 15, 2015","Center for Systems Imaging (CSI), Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01868958"
426,"NCT01865708","Pilot Study of the Safety of a Daily Ethanol Lock for Urinary Catheters in Critically Ill Children",,"Completed","Has Results","Complication of Urinary Catheter","Drug: Ethanol Lock","Blood Alcohol Level|Urine Analysis","Children's Healthcare of Atlanta","All","6 Months to 17 Years   (Child)","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","Ethanol Lock, Safety","July 2013","November 2013","June 2015","May 31, 2013","April 2, 2018","June 28, 2018","Children's Helathcare of Atlanta at Egleston, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01865708"
427,"NCT01861210","Couples HIV Counseling and Testing for Male Couples in the United States","CVCT","Completed","No Results Available","HIV","Behavioral: Couples Voluntary HIV Counseling and Testing|Behavioral: Individual Counseling and Testing","Intimate partner violence|Relationship dissolution","Emory University|National Institute of Mental Health (NIMH)","Male","18 Years to 39 Years   (Adult)","Not Applicable","216","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00043714|R34MH086331|CVCTMSM","September 2010","May 2012","June 2012","May 23, 2013","null","May 22, 2015","AID Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01861210"
428,"NCT01848483","Living Well Project for Persons With AIDS",,"Completed","No Results Available","Acquired Immunodeficiency Syndrome (AIDS)","Behavioral: AIDS EPC Package plus MI|Other: Standard of Care (SOC)","Change in Quality of Life|Change in Clinical Indicators","Emory University|Grady Health System","All","18 Years and older   (Adult, Older Adult)","Not Applicable","121","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00059987|NIH/NINR-1R01NR014054-01","June 2014","June 2017","June 2017","May 7, 2013","null","July 31, 2017","Emory University, Nell Hodgson Woodruff School of Nursing, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01848483"
429,"NCT01848041","Safety and Efficacy Study of RVL-1201 in Acquired Blepharoptosis",,"Completed","No Results Available","Blepharoptosis","Drug: RVL-1201|Drug: RVL-1201 Vehicle Placebo","Humphrey Visual Field|Marginal Reflex Distance|Palpebral Fissure Distance Measurement|Contrast Sensitivity|Safety","RevitaLid Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","46","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RVL-1201-001","May 2013","January 2014","February 2014","May 7, 2013","null","January 13, 2016","Morrow, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01848041"
430,"NCT01845844","Ranibizumab For Persistent Diabetic Macular Edema After Bevacizumab","ROTATE","Unknown status","No Results Available","Diabetic Macular Edema","Drug: Ranibizumab 0.3mg/0.05cc","Incidence of ocular and systemic adverse events will be compared between experimental and active comparator groups|Severity of ocular and systemic adverse events will be compared between experimental and active comparator groups|Efficacy of monthly and monthly followed by PRN dosing of 0.3 mg ranibizumab after persistent DME despite previous bevacizumab therapy","Southeast Retina Center, Georgia|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ML28713","April 2013","January 2015","January 2015","May 3, 2013","null","September 17, 2014","Southeast Retina Center, PC, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01845844"
431,"NCT01841658","Folic Acid Supplementation in Women of Child Bearing Age","FASUPP","Completed","No Results Available","Obesity","Dietary Supplement: Folic acid","Cell-type-specific DNA methylation|Gene-specific DNA methylation|Serum folate|Red Blood Cell (RBC) Folate|Body Composition","University of Georgia|University of Florida|Emory University","Female","18 Years to 40 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","UGA_FASUPPLEMENT_EPIGEN","April 2013","August 2015","June 2016","April 26, 2013","null","July 4, 2016","University of Georgia, Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01841658"
432,"NCT01840696","Phase Analysis and Obstructive CAD on Rubidium PET",,"Withdrawn","No Results Available","Coronary Artery Disease","Drug: Regadenoson","Stress/rest differences in global left ventricular mechanical contraction bandwidth.|Stress/rest differences in segmental left ventricular mechanical contraction bandwidth.","Emory University","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00062632|REGA12I11","October 2013","May 2014","May 2014","April 26, 2013","null","June 2, 2014","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01840696"
